"PlayerName","Club","Position","PositionType","DoB","Age","IPOPrice","IPODate","CurrentPrice"
"Angel Gomes","Man United","Midfield","Central Midfielder","31/08/2000","18","£0.13","18/12/2017","£1.96"
"Pierre-Emerick Aubameyang","Arsenal","Forward","Centre Forward","18/06/1989","30","£0.08","","£2.11"
"Gareth Bale","Real Madrid","Forward","Second Striker/ Winger","16/07/1989","30","£0.08","","£2.13"
"Philippe Coutinho","Barcelona","Midfield","Attacking Midfielder/ Winger","12/06/1992","27","£0.08","","£2.23"
"Timo Werner","RB Leipzig","Forward","Centre Forward","06/03/1996","23","£0.08","","£2.01"
"Houssem Aouar","Lyon","Midfield","Central Midfielder","30/06/1998","21","£0.23","03/01/2018","£2.26"
"Takefusa Kubo","Real Madrid","Midfield","Attacking Midfielder/ Winger","04/06/2001","18","£1.00","19/07/2019","£2.03"
"Fabian Ruiz","Napoli","Midfield","Attacking Midfielder/ Winger","03/04/1996","23","£0.17","26/01/2018","£1.96"
"Naby Keïta","Liverpool","Midfield","Central Midfielder","10/02/1995","24","£0.08","","£1.66"
"Nabil Fekir","Lyon","Forward","Second Striker/ Winger","18/07/1993","26","£0.08","","£1.93"
"Samuel Chukwueze","Villarreal","Midfield","Attacking Midfielder/ Winger","22/05/1999","20","£0.47","13/11/2018","£1.88"
"Dele Alli","Tottenham","Midfield","Attacking Midfielder/ Winger","11/04/1996","23","£0.08","","£1.84"
"Thorgan Hazard","Borussia Mönchengladbach","Forward","Second Striker/ Winger","29/03/1993","26","£0.33","15/11/2017","£1.83"
"Andrew Robertson","Liverpool","Goalkeeper/ Defender","Full back","11/03/1994","25","£0.10","24/11/2017","£1.69"
"Tanguy NDombele","Lyon","Midfield","Central Midfielder","28/12/1996","22","£0.17","17/01/2018","£1.77"
"Giovani Lo Celso","Betis","Midfield","Attacking Midfielder/ Winger","09/04/1996","23","£0.23","11/01/2018","£1.79"
"Diogo Jota","Wolves","Midfield","Attacking Midfielder/ Winger","04/12/1996","22","£0.13","19/12/2017","£1.82"
"Declan Rice","West Ham United","Midfield","Central Midfielder","14/01/1999","20","£0.13","05/01/2018","£1.72"
"Ross Barkley","Chelsea","Midfield","Central Midfielder","05/12/1993","25","£0.08","","£1.45"
"Bukayo Saka","Arsenal","Forward","Second Striker/ Winger","05/09/2001","17","£0.67","05/12/2018","£1.67"
"Pablo Sarabia","Sevilla","Midfield","Attacking Midfielder/ Winger","11/05/1992","27","£0.40","06/11/2017","£1.59"
"Dani Ceballos","Real Madrid","Midfield","Attacking Midfielder/ Winger","07/08/1996","23","£0.17","03/11/2017","£2.57"
"Aymeric Laporte","Man City","Goalkeeper/ Defender","Centre Back","27/05/1994","25","£0.37","09/11/2017","£1.67"
"David Neres","Ajax","Forward","Second Striker/ Winger","03/03/1997","22","£0.17","08/01/2018","£1.67"
"Sebastien Haller","Ein Frankfurt","Forward","Centre Forward","22/06/1994","25","£0.20","09/01/2018","£1.61"
"Troy Parrott","Tottenham","Forward","Centre Forward","04/02/2002","17","£0.60","19/07/2019","£1.75"
"Joe Gomez","Liverpool","Goalkeeper/ Defender","Full back","23/05/1997","22","£0.20","15/12/2017","£1.66"
"John McGinn","Aston Villa","Midfield","Central Midfielder","18/10/1994","24","£0.33","27/09/2018","£1.76"
"Roberto Firmino","Liverpool","Forward","Second Striker/ Winger","02/10/1991","27","£0.08","","£1.73"
"Federico Chiesa","Fiorentina","Forward","Second Striker/ Winger","25/10/1997","21","£0.17","10/11/2017","£1.72"
"David Brooks","Bournemouth","Midfield","Attacking Midfielder/ Winger","08/07/1997","22","£0.17","28/02/2018","£1.70"
"Son Heung-min","Tottenham","Forward","Second Striker/ Winger","08/07/1992","27","£0.08","","£1.84"
"Moussa Dembele","Lyon","Forward","Centre Forward","12/07/1996","23","£0.08","","£1.83"
"Florian Thauvin","Marseille","Midfield","Attacking Midfielder/ Winger","26/01/1993","26","£0.90","01/11/2017","£1.66"
"Morgan Gibbs-White","Wolves","Midfield","Central Midfielder","27/01/2000","19","£0.13","23/04/2018","£1.65"
"Serge Gnabry","Bayern Munich","Midfield","Attacking Midfielder/ Winger","14/07/1995","24","£0.27","16/11/2017","£1.72"
"Nicolo Zaniolo","Roma","Midfield","Central Midfielder","02/07/1999","20","£0.33","19/09/2018","£1.77"
"Erling Braut Haland","Red Bull","Forward","Centre Forward","21/07/2000","19","£0.60","23/01/2019","£2.25"
"Romelu Lukaku","Man United","Forward","Centre Forward","13/05/1993","26","£0.08","","£1.85"
"Sergio Aguero","Man City","Forward","Centre Forward","02/06/1988","31","£0.08","","£1.63"
"Donny van de Beek","Ajax","Midfield","Central Midfielder","18/04/1997","22","£0.13","05/01/2018","£1.58"
"James Rodríguez","Bayern Munich","Midfield","Attacking Midfielder/ Winger","12/07/1991","28","£0.08","","£1.57"
"Kingsley Coman","Bayern Munich","Midfield","Attacking Midfielder/ Winger","13/06/1996","23","£0.08","","£1.66"
"Kerem Demirbay","Hoffenheim","Midfield","Central Midfielder","03/07/1993","26","£0.23","10/11/2017","£1.52"
"Lucas Digne","Everton","Goalkeeper/ Defender","Full back","20/07/1993","26","£0.23","04/12/2017","£1.61"
"Jonathan Bamba","Lille","Midfield","Attacking Midfielder/ Winger","26/03/1996","23","£0.13","14/11/2017","£1.57"
"Ruben Neves","Wolves","Midfield","Central Midfielder","13/03/1997","22","£0.20","15/02/2018","£1.69"
"Isco","Real Madrid","Midfield","Central Midfielder","21/04/1992","27","£0.08","","£1.56"
"Hakim Ziyech","Ajax","Midfield","Attacking Midfielder/ Winger","19/03/1993","26","£0.50","01/11/2017","£1.55"
"Teji Savanier","Nîmes","Midfield","Attacking Midfielder/ Winger","22/12/1991","27","£0.30","30/08/2018","£1.61"
"Suso","AC Milan","Forward","Second Striker/ Winger","19/11/1993","25","£0.33","09/11/2017","£1.58"
"Rodrigo de Paul","Udinese","Midfield","Attacking Midfielder/ Winger","24/05/1994","25","£0.33","06/11/2017","£1.60"
"Eddie Nketiah","Arsenal","Forward","Second Striker/ Winger","30/05/1999","20","£0.13","14/11/2017","£1.67"
"Dwight McNeil","Burnley","Forward","Second Striker/ Winger","22/11/1999","19","£0.27","07/01/2019","£1.49"
"Joao Filipe","Benfica","Forward","Second Striker/ Winger","30/03/1999","20","£0.63","23/01/2019","£1.51"
"Reece James","Other","Goalkeeper/ Defender","Full back","08/12/1999","19","£0.20","06/02/2019","£1.68"
"Youcef Atal","OGC Nice","Goalkeeper/ Defender","Full back","17/05/1996","23","£0.27","23/11/2018","£1.49"
"Hirving Lozano","PSV","Forward","Second Striker/ Winger","30/07/1995","24","£0.40","06/02/2018","£1.58"
"Sean Longstaff","Newcastle United","Midfield","Central Midfielder","30/10/1997","21","£0.27","08/02/2019","£1.45"
"Toni Kroos","Real Madrid","Midfield","Central Midfielder","04/01/1990","29","£0.08","","£1.57"
"Alex Oxlade-Chamberlain","Liverpool","Midfield","Attacking Midfielder/ Winger","15/08/1993","26","£0.08","","£1.49"
"Pablo Fornals","Villarreal","Midfield","Central Midfielder","22/02/1996","23","£0.28","13/11/2017","£1.30"
"Leon Bailey","Leverkusen","Forward","Second Striker/ Winger","09/08/1997","22","£0.20","03/11/2017","£1.66"
"Tahith Chong","Man United","Midfield","Attacking Midfielder/ Winger","04/12/1999","19","£0.17","08/02/2018","£1.46"
"Alejandro Gomez","Atalanta","Midfield","Attacking Midfielder/ Winger","15/02/1988","31","£0.08","","£1.52"
"Marquinhos","PSG","Goalkeeper/ Defender","Centre Back","14/05/1994","25","£0.20","03/11/2017","£1.48"
"Mikel Oyarzabal","Real Sociedad","Forward","Second Striker/ Winger","21/04/1997","22","£0.33","13/11/2017","£1.54"
"Scott McTominay","Man United","Midfield","Attacking Midfielder/ Winger","08/12/1996","22","£0.13","14/11/2017","£1.51"
"Emile Smith-Rowe","Arsenal","Midfield","Attacking Midfielder/ Winger","28/07/2000","19","£0.27","24/08/2018","£1.49"
"Felipe Anderson","West Ham United","Midfield","Attacking Midfielder/ Winger","15/04/1993","26","£0.30","01/11/2017","£1.39"
"Rodrigo Hernandez","Atlético Madrid","Midfield","Central Midfielder","22/06/1996","23","£0.43","08/11/2017","£1.39"
"Manuel Akanji","Borussia Dortmund","Goalkeeper/ Defender","Centre Back","19/07/1995","24","£0.10","16/11/2017","£1.39"
"Harry Wilson","Liverpool","Midfield","Attacking Midfielder/ Winger","22/03/1997","22","£0.13","03/01/2018","£1.53"
"Paulinho (Lev)","Leverkusen","Forward","Second Striker/ Winger","15/07/2000","19","£0.93","23/11/2018","£1.38"
"Alexandre Lacazette","Arsenal","Forward","Centre Forward","28/05/1991","28","£0.08","","£1.50"
"Milot Rashica","Werder Bremen","Midfield","Attacking Midfielder/ Winger","28/06/1996","23","£0.13","20/11/2017","£1.35"
"Krzysztof Piatek","AC Milan","Forward","Centre Forward","01/07/1995","24","£0.33","13/09/2018","£1.49"
"Ben Chilwell","Leicester City","Goalkeeper/ Defender","Full back","21/12/1996","22","£0.17","08/11/2017","£1.40"
"Martin Odegaard","Real Madrid","Midfield","Attacking Midfielder/ Winger","17/12/1998","20","£0.20","12/06/2018","£1.55"
"Max Aarons","Other","Goalkeeper/ Defender","Full back","04/01/2000","19","£0.33","07/11/2018","£1.38"
"Ismaila Sarr","Rennes","Forward","Second Striker/ Winger","25/02/1998","21","£0.20","27/11/2017","£1.32"
"Ryan Fraser","Bournemouth","Midfield","Attacking Midfielder/ Winger","24/02/1994","25","£0.20","27/11/2017","£1.31"
"Oleksandr Zinchenko","Man City","Midfield","Attacking Midfielder/ Winger","15/12/1996","22","£0.10","19/12/2017","£1.25"
"Lautaro Martinez","Internazionale","Forward","Centre Forward","22/08/1997","21","£0.23","07/02/2018","£1.41"
"Harvey Barnes","Leicester City","Midfield","Attacking Midfielder/ Winger","09/12/1997","21","£0.40","16/10/2018","£1.34"
"Emiliano Buendia","Other","Midfield","Attacking Midfielder/ Winger","25/12/1996","22","£0.27","07/01/2019","£1.35"
"Ademola Lookman","Everton","Forward","Second Striker/ Winger","20/10/1997","21","£0.08","","£1.38"
"Lucas Moura","Tottenham","Forward","Second Striker/ Winger","13/08/1992","27","£0.33","01/11/2017","£1.37"
"Jonathan Tah","Leverkusen","Goalkeeper/ Defender","Centre Back","11/02/1996","23","£0.23","15/11/2017","£1.44"
"Jonathan Ikone","Lille","Midfield","Attacking Midfielder/ Winger","02/05/1998","21","£0.33","31/10/2018","£1.40"
"Leon Goretzka","Bayern Munich","Midfield","Attacking Midfielder/ Winger","06/02/1995","24","£0.08","","£1.39"
"Everton Soares","Other","Midfield","Attacking Midfielder/ Winger","22/03/1996","23","£1.10","19/07/2019","£1.30"
"Sergej Milinkovic-Savic","Lazio","Midfield","Central Midfielder","27/02/1995","24","£0.20","03/11/2017","£1.37"
"Jann-Fiete Arp","Hamburg","Forward","Centre Forward","06/01/2000","19","£0.17","19/01/2018","£1.44"
"Victor Osimhen","Wolfsburg","Forward","Centre Forward","29/12/1998","20","£0.10","05/03/2018","£1.43"
"Alphonso Davies","Bayern Munich","Forward","Second Striker/ Winger","02/11/2000","18","£0.33","24/08/2018","£1.33"
"Alexis Sanchez","Man United","Forward","Second Striker/ Winger","19/12/1988","30","£0.08","","£1.38"
"Mauro Icardi","Internazionale","Forward","Second Striker/ Winger","19/02/1993","26","£0.08","","£1.39"
"Kieran Tierney","Celtic","Goalkeeper/ Defender","Full back","05/06/1997","22","£0.12","24/11/2017","£1.38"
"Joao Cancelo","Juventus","Goalkeeper/ Defender","Full back","27/05/1994","25","£0.20","19/12/2017","£1.28"
"Cengiz Under","Roma","Midfield","Attacking Midfielder/ Winger","14/07/1997","22","£0.17","11/01/2018","£1.43"
"Teemu Pukki","Norwich","Forward","Centre Forward","29/03/1990","29","£1.00","19/07/2019","£1.80"
"Moussa Diaby","PSG","Forward","Second Striker/ Winger","07/07/1999","20","£0.40","12/09/2018","£1.33"
"Marco Asensio","Real Madrid","Midfield","Attacking Midfielder/ Winger","21/01/1996","23","£0.08","","£1.33"
"Riyad Mahrez","Man City","Midfield","Attacking Midfielder/ Winger","21/02/1991","28","£0.08","","£1.32"
"Dejan Joveljic","Red Star Belgrade","Forward","Centre Forward","07/08/1999","20","£0.37","05/10/2018","£1.29"
"Riqui Puig","Barcelona","Midfield","Central Midfielder","13/08/1999","20","£0.60","18/10/2018","£1.40"
"Ravel Morrison","Sheffield United","Midfield","Attacking Midfielder/ Winger","02/02/1993","26","£1.20","08/08/2019","£1.29"
"Daniel Parejo","Valencia","Midfield","Central Midfielder","16/04/1989","30","£0.33","01/11/2017","£1.33"
"Timothy Weah","Celtic","Forward","Second Striker/ Winger","22/02/2000","19","£0.17","12/06/2018","£1.27"
"Lorenzo Insigne","Napoli","Forward","Second Striker/ Winger","04/06/1991","28","£0.08","","£1.34"
"Miralem Pjanić","Juventus","Midfield","Central Midfielder","02/04/1990","29","£0.08","","£1.32"
"Alexander Isak","Borussia Dortmund","Forward","Centre Forward","21/09/1999","19","£0.17","15/11/2017","£1.33"
"Sandro Tonali","Other","Midfield","Defensive Midfielder/ Wingback","08/05/2000","19","£0.33","24/10/2018","£1.30"
"Lee Kang-In","Valencia","Midfield","Attacking Midfielder/ Winger","19/02/2001","18","£0.27","11/02/2019","£1.29"
"Paco Alcacer","Borussia Dortmund","Forward","Centre Forward","30/08/1993","25","£0.27","15/12/2017","£1.70"
"Rafael Leao","Lille","Forward","Centre Forward","10/06/1999","20","£0.17","06/03/2018","£1.37"
"Steven Bergwijn","PSV","Forward","Second Striker/ Winger","08/10/1997","21","£0.40","25/09/2018","£1.22"
"Jack Clarke","Leeds United","Forward","Second Striker/ Winger","23/11/2000","18","£0.23","13/11/2018","£1.27"
"Harry Winks","Tottenham","Midfield","Central Midfielder","02/02/1996","23","£0.08","","£1.28"
"Gabriel Martinelli","Arsenal","Forward","Second Striker/ Winger","18/06/2001","18","£0.80","19/07/2019","£1.24"
"Dani Olmo","Dinamo Zagreb","Midfield","Attacking Midfielder/ Winger","07/05/1998","21","£0.43","05/10/2018","£1.36"
"Goncalo Guedes","Valencia","Midfield","Attacking Midfielder/ Winger","29/11/1996","22","£0.20","19/12/2017","£1.34"
"Dominik Szoboszlai","Red Bull","Midfield","Central Midfielder","25/10/2000","18","£0.30","28/02/2019","£1.31"
"Ayoze Perez","Newcastle United","Forward","Second Striker/ Winger","29/07/1993","26","£0.13","24/11/2017","£1.08"
"Ferran Torres","Valencia","Midfield","Attacking Midfielder/ Winger","29/02/2000","19","£0.17","05/03/2018","£1.23"
"Raul Jimenez","Wolves","Forward","Centre Forward","05/05/1991","28","£0.20","05/03/2018","£1.26"
"Ryan Gravenberch","Ajax","Midfield","Central Midfielder","16/05/2002","17","£0.33","11/02/2019","£1.19"
"Callum Wilson","Bournemouth","Forward","Centre Forward","27/02/1992","27","£0.27","27/11/2017","£1.21"
"Brahim Diaz","Real Madrid","Midfield","Attacking Midfielder/ Winger","03/08/1999","20","£0.23","10/01/2018","£1.26"
"Robert Lewandowski","Bayern Munich","Forward","Centre Forward","21/08/1988","31","£0.08","","£1.24"
"Corentin Tolisso","Bayern Munich","Midfield","Central Midfielder","03/08/1994","25","£0.08","","£1.22"
"Kalidou Koulibaly","Napoli","Goalkeeper/ Defender","Centre Back","20/06/1991","28","£0.17","02/11/2017","£1.21"
"John Stones","Man City","Goalkeeper/ Defender","Centre Back","28/05/1994","25","£0.08","","£1.17"
"Marcus Thuram","Guingamp","Forward","Centre Forward","06/08/1997","22","£0.23","22/01/2018","£1.26"
"Joelinton","Hoffenheim","Forward","Centre Forward","14/08/1996","23","£0.27","12/09/2018","£1.11"
"Bryan Gil","Sevilla","Forward","Second Striker/ Winger","11/02/2001","18","£0.27","09/01/2019","£1.21"
"Achraf Hakimi","Borussia Dortmund","Goalkeeper/ Defender","Full back","04/11/1998","20","£0.27","14/11/2017","£1.17"
"Kyle Walker-Peters","Tottenham","Goalkeeper/ Defender","Full back","13/04/1997","22","£0.13","19/12/2017","£1.24"
"Che Adams","Other","Forward","Centre Forward","13/07/1996","23","£0.20","13/09/2018","£1.10"
"Billy Gilmour","Chelsea","Midfield","Central Midfielder","11/06/2001","18","£0.30","11/02/2019","£1.27"
"James Garner","Man United","Midfield","Central Midfielder","13/03/2001","18","£0.33","08/03/2019","£1.29"
"Pietro Pellegri","AS Monaco","Forward","Centre Forward","17/03/2001","18","£0.13","11/01/2018","£1.28"
"Michael Cuisance","Borussia Mönchengladbach","Midfield","Central Midfielder","16/08/1999","20","£0.27","24/08/2018","£1.15"
"Myron Boadu","AZ","Forward","Centre Forward","14/01/2001","18","£0.43","07/11/2018","£1.20"
"Wesley","Club Brugge","Forward","Centre Forward","26/11/1996","22","£0.40","27/09/2018","£1.07"
"Bobby Duncan","Liverpool","Forward","Centre Forward","26/06/2001","18","£0.47","30/11/2018","£1.16"
"Ki-Jana Hoever","Liverpool","Goalkeeper/ Defender","Full back","18/01/2002","17","£0.33","11/02/2019","£1.20"
"Amine Gouiri","Lyon","Forward","Centre Forward","16/02/2000","19","£0.17","11/01/2018","£1.09"
"Willem Geubbels","AS Monaco","Forward","Second Striker/ Winger","16/08/2001","18","£0.10","12/01/2018","£1.12"
"Lucas Paqueta","AC Milan","Midfield","Attacking Midfielder/ Winger","27/08/1997","21","£0.20","13/06/2018","£1.23"
"Stefano Sensi","Sassuolo","Midfield","Central Midfielder","05/08/1995","24","£0.13","20/11/2017","£1.30"
"Matheus Cunha","RB Leipzig","Forward","Centre Forward","27/05/1999","20","£0.23","13/09/2018","£1.14"
"Aaron Ramsey","Arsenal","Midfield","Central Midfielder","26/12/1990","28","£0.08","","£1.18"
"Filip Kostic","Ein Frankfurt","Midfield","Attacking Midfielder/ Winger","01/11/1992","26","£0.33","13/11/2017","£1.28"
"Allan Saint-Maximin","OGC Nice","Midfield","Attacking Midfielder/ Winger","12/03/1997","22","£0.27","15/11/2017","£1.09"
"Martin Terrier","Lyon","Midfield","Attacking Midfielder/ Winger","04/03/1997","22","£0.17","05/03/2018","£1.04"
"Luis Alberto","Lazio","Midfield","Attacking Midfielder/ Winger","28/09/1992","26","£0.50","08/11/2017","£1.16"
"Marco Reus","Borussia Dortmund","Forward","Second Striker/ Winger","31/05/1989","30","£0.08","","£1.22"
"Jesse Lingard","Man United","Midfield","Attacking Midfielder/ Winger","15/12/1992","26","£0.08","","£1.10"
"Benjamin Mendy","Man City","Goalkeeper/ Defender","Full back","17/07/1994","25","£0.08","","£1.10"
"Marcelo Brozovic","Internazionale","Midfield","Central Midfielder","16/11/1992","26","£0.20","02/11/2017","£1.33"
"Diego Lainez","Betis","Midfield","Second Striker/ Winger","09/06/2000","19","£0.50","24/10/2018","£1.10"
"Justin Kluivert","Roma","Forward","Centre Forward","05/05/1999","20","£0.08","","£1.11"
"Bertrand Traore","Lyon","Forward","Second Striker/ Winger","06/09/1995","23","£0.23","06/11/2017","£1.05"
"Jarrod Bowen","Hull","Forward","Second Striker/ Winger","20/12/1996","22","£0.40","07/01/2019","£1.14"
"Hamza Choudhury","Leicester City","Midfield","Central Midfielder","01/10/1997","21","£0.17","10/01/2018","£1.03"
"Miguel Almiron","Newcastle United","Midfield","Attacking Midfielder/ Winger","01/02/1994","25","£0.40","18/10/2018","£1.00"
"Robert Skov","København","Midfield","Attacking Midfielder/ Winger","20/05/1996","23","£0.27","24/10/2018","£1.10"
"Dayot Upamecano","RB Leipzig","Goalkeeper/ Defender","Centre Back","27/10/1998","20","£0.30","09/11/2017","£1.11"
"Patrick Cutrone","AC Milan","Forward","Centre Forward","03/01/1998","21","£0.17","15/11/2017","£1.14"
"Duvan Zapata","Atalanta","Forward","Centre Forward","01/04/1991","28","£0.30","29/11/2017","£1.18"
"Maxi Gomez","Celta","Forward","Centre Forward","14/08/1996","23","£0.23","08/12/2017","£1.14"
"Ethan Ampadu","Chelsea","Goalkeeper/ Defender","Centre Back","14/09/2000","18","£0.10","18/01/2018","£1.09"
"Divock Origi","Liverpool","Forward","Centre Forward","18/04/1995","24","£0.27","17/11/2017","£1.04"
"Adrien Rabiot","PSG","Midfield","Central Midfielder","03/04/1995","24","£0.20","03/11/2017","£1.05"
"Wissam Ben Yedder","Sevilla","Forward","Centre Forward","12/08/1990","29","£0.23","06/11/2017","£1.06"
"Yussuf Poulsen","RB Leipzig","Forward","Centre Forward","15/06/1994","25","£0.20","15/11/2017","£1.09"
"Matteo Guendouzi","Arsenal","Midfield","Central Midfielder","14/04/1999","20","£0.40","24/08/2018","£1.28"
"Gedson Fernandes","Benfica","Midfield","Central Midfielder","09/01/1999","20","£0.40","17/09/2018","£1.05"
"Sergio Ramos","Real Madrid","Goalkeeper/ Defender","Centre Back","30/03/1986","33","£0.08","","£1.11"
"Jeff Reine-Adelaide","Angers","Midfield","Attacking Midfielder/ Winger","17/01/1998","21","£0.13","18/12/2017","£1.30"
"Neal Maupay","Other","Forward","Centre Forward","14/08/1996","23","£0.40","16/10/2018","£1.10"
"Ricardo Pereira","Leicester City","Goalkeeper/ Defender","Full back","06/10/1993","25","£0.30","07/11/2017","£1.08"
"Nico Elvedi","Borussia Mönchengladbach","Goalkeeper/ Defender","Centre Back","30/09/1996","22","£0.17","15/11/2017","£1.21"
"Manuel Lanzini","West Ham United","Midfield","Attacking Midfielder/ Winger","15/02/1993","26","£0.08","","£0.96"
"Nicolo Barella","Cagliari","Midfield","Central Midfielder","07/02/1997","22","£0.23","20/11/2017","£1.06"
